SuborderList,OMClass,Fe2O3Class
Aquands,1,2
Aquods,1,2
Aquox,1,2
Fibrists,1,2
Folists,1,2
Hemists,1,2
Histels,1,2
Saprists,1,2
Turbels,1,2
Albolls,2,2
Aquepts,2,2
Aquerts,2,2
Aquolls,2,2
Aquults,2,1
Borolls,2,2
Cryolls,2,2
Humods,2,2
Humults,2,1
Rendolls,2,2
Udands,2,2
Udolls,2,2
Udox,2,2
Ustands,2,2
Usterts,2,2
Ustolls,2,2
Xererts,2,2
Xerolls,2,2
Andepts,3,2
Anthrepts,3,2
Aqualfs,3,2
Aquents,3,2
Boralfs,3,2
Cryalfs,3,2
Cryands,3,2
Cryerts,3,2
Cryods,3,2
Orthels,3,2
Udalfs,3,2
Ustalfs,3,2
Vitrands,3,2
Xeralfs,3,2
Arents,4,2
Argids,4,2
Calcids,4,2
Cambids,4,2
Cryepts,4,2
Cryids,4,2
Durids,4,2
Fluvents,4,2
Gypsids,4,2
Ochrepts,4,2
Orthents,4,2
Orthids,4,2
Orthods,4,2
Orthox,4,2
Perox,4,2
Psamments,4,2
Salids,4,2
Torrands,4,2
Torrerts,4,2
Torrox,4,2
Tropepts,4,2
Udepts,4,2
Udults,4,1
Umbrepts,4,2
Ustepts,4,2
Ustox,4,2
Ustults,4,1
Xerands,4,2
Xerepts,4,2
Xerents,4,2
Xerults,4,1
